GameID,Referee,RefCountry,Game,PT,Fouls,GT,RefConfed,TotalBIP,TotalGT,PT1,PT2,BNIP,BIPS,GTS,BNIPS,Dwell,Temp,Hum,Goals
1,Nestor Pitana,Argentina,Russia v Saudi Arabia,57,32,01:36:48,CONMEBOL,00:57:18,01:36:48,00:22:54,00:34:24,39:30,3418,5808,2390,41.15,17,43,5
2,Bjorn Kuipers,Netherlands,Egypt v Uruguay,64,18,01:37:21,UEFA,01:04:15,01:37:21,00:27:39,00:36:36,33:06,3855,5841,1986,34.00,14,42,1
3,Cuneyt Cakir,Turkey,Morocco v Iran,45,36,01:38:07,UEFA,00:45:57,01:38:07,00:29:11,00:16:46,52:20,2757,5887,3130,53.17,25,37,1
4,Gianluca Rocchi,Italy,Portugal v Spain,58,22,01:35:58,UEFA,00:58:48,01:35:58,00:22:18,00:36:32,36:10,3528,5758,2230,38.73,24,74,6
5,Andres Cunha,Uruguay,France v Ausralia,58,35,01:36:36,CONMEBOL,00:56:21,01:36:36,00:28:55,00:27:26,40:15,3381,5796,2415,41.67,19,32,3
6,Szymon Marciniak,Poland,Argentina v Iceland,62,25,01:36:19,UEFA,01:02:48,01:36:11,00:45:11,00:17:37,33:23,3768,5771,2003,34.71,22,33,2
7,Bakary Gassama,Gambia,Peru v Denmark,53,28,01:38:10,CAF,00:53:23,01:38:10,00:27:45,00:25:38,34:47,3203,5890,2687,45.62,18,48,1
8,Sando Ricci,Brazil,Croatia v Nigeria,56,36,01:36:04,CONMEBOL,00:55:14,01:36:04,00:29:27,00:25:47,40:50,3314,5764,2450,42.51,20,64,2
9,Cesar Ramos,Mexico,Brazil v Switzerland,62,31,01:38:57,CONCACAF,01:02:25,01:38:57,00:32:46,00:29:39,36:32,3745,5937,2192,36.92,25,27,2
10,Malang Diedhiou,Senegal,Costa Rica v Serbia,58,33,01:39:42,CAF,00:58:35,01:39:42,00:29:25,00:29:10,41:07,3515,5982,2467,41.24,22,32,1
11,Alireza Faghani,Iran,Germany v Mexico,56,25,01:34:13,AFC,00:56:35,01:34:13,00:35:42,00:23:53,37:38,3395,5653,2258,39.94,23,42,1
12,Joel Aguilar,Salvador,Sweden v Korea,53,43,01:36:26,CONCACAF,00:53:23,01:36:26,00:27:31,00:25:52,43:13,3203,5786,2583,44.64,25,36,1
13,Janny Sikazwe,Zambia,Belgium v Panama,55,35,01:36:15,CAF,00:55:07,01:36:15,00:33:29,00:21:38,41:08,3307,5775,2468,42.74,24,71,3
